task_id,phase,phase_name,task_title,description,depends_on,priority,status,assignee,copilot_suitable,issue_type,labels
0.1,0,Assessment,Verify Azure SP credential,Test login and check role assignments and expiry,,P1 – Critical,done,,No,planned,Phase 0 - Assessment;P1 – Critical;S (half-day);Copilot: No;area: credentials
0.2,0,Assessment,Inventory resource groups,List all resume-related resource groups and resources,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: infrastructure
0.3,0,Assessment,Assess Function App,Check state; runtime; configuration; CORS; function keys,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: backend
0.4,0,Assessment,Assess Cosmos DB,Verify account; database; container; and counter document,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: backend
0.5,0,Assessment,Assess Key Vault,Check secrets; access policies; expiry,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: infrastructure
0.6,0,Assessment,Assess Storage Accounts,Verify static website config; custom domains; content,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: infrastructure
0.7,0,Assessment,Assess App Insights,Verify instrumentation keys; check for recent errors,,P3 – Medium,done,,Yes,planned,Phase 0 - Assessment;P3 – Medium;S (half-day);Copilot: Yes;area: infrastructure
0.8,0,Assessment,Verify Cloudflare token,Test API token; check permissions,,P1 – Critical,done,,No,planned,Phase 0 - Assessment;P1 – Critical;S (half-day);Copilot: No;area: dns-cdn
0.9,0,Assessment,Inventory DNS records,List all DNS records for ryanmcvey.me zone,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: dns-cdn
0.10,0,Assessment,Check SSL/TLS settings,Verify encryption mode and certificate status,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: dns-cdn
0.11,0,Assessment,Verify GitHub secrets,Confirm all 5 secrets exist in repo settings,,P1 – Critical,done,,No,planned,Phase 0 - Assessment;P1 – Critical;S (half-day);Copilot: No;area: ci-cd
0.12,0,Assessment,Check workflow run history,Review recent GitHub Actions runs for errors,,P2 – High,done,,Yes,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: Yes;area: ci-cd
0.13,0,Assessment,Review GitHub environments,Check production and development environment protection rules,,P2 – High,done,,No,planned,Phase 0 - Assessment;P2 – High;S (half-day);Copilot: No;area: ci-cd
0.14,0,Assessment,Phase 0 Retrospective,Run retrospective generator; commit report; close milestone,,P3 – Medium,done,,Partial,planned,Phase 0 - Assessment;P3 – Medium;S (half-day);Copilot: Partial;area: documentation;phase-retrospective
1.1,1,Fix Function App,Diagnose root cause,Use Phase 0 assessment data to identify why counter is broken,0.3,P1 – Critical,done,,Yes,planned,Phase 1 - Fix Function App;P1 – Critical;S (half-day);Copilot: Yes;area: backend
1.2,1,Fix Function App,Upgrade .NET runtime,Migrate from .NET Core 3.1 to .NET 8 in api.csproj,1.1,P1 – Critical,done,,Yes,planned,Phase 1 - Fix Function App;P1 – Critical;M (1–2 days);Copilot: Yes;area: backend
